Identifier,Date of Publication
206,1879
216,1868
218,1869
472,1851
480,1857
481,1875
519,1872
667,
874,1676
1143,1679
1280,1802
1808,1859
1905,1888
1929,1839
2836,1897
2854,1865
2956,1860
2957,1873
3017,1866
3131,1899
4598,1814
4884,1820
4976,1800
5382,1847
5385,
5389,
5432,1893
6036,1805
6821,1837
7521,1896
7630,1898
8239,1899
8435,1892
8440,1894
11361,
11852,
13074,1899
13364,
14466,
14703,1846
15141,1893
15146,1894
16173,1817
16543,1816
16544,1817
17602,1897
17752,
18173,1804
18218,1859
18347,1777
18469,1799
19340,1827
20207,1866
20960,1853
21119,1874
21430,1790
21782,
22060,1883
22105,1795
22278,1865
23565,1877
24344,1853
24878,1886
27797,
28615,1852
28630,1857
28758,1866
28784,1869
28873,1853
28876,1875
29031,1827
29032,1828
29285,1876
29505,1758
29844,1846
30269,1880
31858,1823
32896,1887
33745,1825
33833,1850
33881,1810
34361,1889
34463,1872
34538,1892
34785,
34793,
34810,1872
34826,1861
34852,
34914,1858
34952,1860
34967,1857
34987,1857
36171,
36231,1878
36521,1857
36531,1821
36721,1897
38673,1891
38986,1827
39670,1808
39775,1868
40021,1886
40627,1860
40680,1810
40976,1886
41050,1880
41096,1849
41097,1860
41601,1724
41623,1772
42862,1812
42904,1873
42911,1851
43140,1835
43252,1799
45172,1875
45574,1867
48378,1837
48384,1830
48908,1841
48989,1884
49023,1880
49724,1872
51061,1837
51064,1863
51125,
51466,1884
52264,1894
52272,1887
52316,1883
52347,1808
52370,1848
52372,1845
52772,1877
52859,1807
53231,1874
53348,1867
53627,1892
53628,1880
54811,1873
54815,1860
54819,1878
54820,1846
54828,1864
55031,
56580,1822
56757,1871
56969,1829
56981,1894
57124,1848
58178,1897
60280,1877
60798,1823
61361,1891
62084,1814
62125,1824
62129,1885
63229,1877
64513,1891
64601,1847
64634,1853
64701,1841
64829,1856
65026,1850
66142,1803
66840,1874
67034,1850
67200,1818
67519,1881
67701,1874
68917,1833
69151,1863
69299,1835
69302,1838
69314,1830
69331,1838
69339,1823
69359,1824
69387,1830
69390,1818
69401,1833
69813,1865
69864,1828
70023,
70719,1720
70845,1878
70846,1886
70870,
70881,1880
70882,1883
70912,
71005,1855
74411,1853
74635,1894
74645,1747
74647,1748
74744,1704
75468,1887
75692,
75704,1694
76338,1889
76454,1839
77405,1888
77482,1846
77495,1851
77554,1848
78142,1891
78735,1859
78740,
79249,1876
80465,1899
80911,1875
81414,1895
81458,
82105,1883
84631,1867
85672,1880
87222,1899
87934,1861
88350,
89469,1825
89796,1887
90416,1891
90417,1870
90432,1874
90671,1899
91083,1809
91204,1877
91396,1853
92162,1879
92702,1760
93013,1862
93014,1865
93061,1830
93082,1897
93124,1898
93565,1810
94393,1805
94484,1887
94545,1844
94892,1827
94906,1813
95781,1889
96025,1855
98625,1787
99576,1794
99578,1710
99583,1846
99710,1785
99961,1822
100453,1848
100850,1868
101009,1777
101363,1801
101366,1844
103149,1893
103877,1877
104150,1859
104154,1889
105878,1883
106158,1898
106294,1851
106624,1887
106918,1882
107010,1877
107307,1840
107921,1824
107924,1819
108063,1824
